,src_image,annotation,foggy_image
0,ulm_000024_000019_leftImg8bit.png,ulm_000024_000019_leftImg8bit_foggy_beta_0.02.txt,ulm_000024_000019_leftImg8bit_foggy_beta_0.02.png
1,aachen_000141_000019_leftImg8bit.png,aachen_000141_000019_leftImg8bit_foggy_beta_0.02.txt,aachen_000141_000019_leftImg8bit_foggy_beta_0.02.png
2,tubingen_000130_000019_leftImg8bit.png,tubingen_000130_000019_leftImg8bit_foggy_beta_0.02.txt,tubingen_000130_000019_leftImg8bit_foggy_beta_0.02.png
3,krefeld_000000_019697_leftImg8bit.png,krefeld_000000_019697_leftImg8bit_foggy_beta_0.02.txt,krefeld_000000_019697_leftImg8bit_foggy_beta_0.02.png
4,krefeld_000000_010329_leftImg8bit.png,krefeld_000000_010329_leftImg8bit_foggy_beta_0.02.txt,krefeld_000000_010329_leftImg8bit_foggy_beta_0.02.png
5,dusseldorf_000164_000019_leftImg8bit.png,dusseldorf_000164_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000164_000019_leftImg8bit_foggy_beta_0.02.png
6,krefeld_000000_028638_leftImg8bit.png,krefeld_000000_028638_leftImg8bit_foggy_beta_0.02.txt,krefeld_000000_028638_leftImg8bit_foggy_beta_0.02.png
7,strasbourg_000000_007813_leftImg8bit.png,strasbourg_000000_007813_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_007813_leftImg8bit_foggy_beta_0.02.png
8,stuttgart_000005_000019_leftImg8bit.png,stuttgart_000005_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000005_000019_leftImg8bit_foggy_beta_0.02.png
9,erfurt_000023_000019_leftImg8bit.png,erfurt_000023_000019_leftImg8bit_foggy_beta_0.02.txt,erfurt_000023_000019_leftImg8bit_foggy_beta_0.02.png
10,weimar_000125_000019_leftImg8bit.png,weimar_000125_000019_leftImg8bit_foggy_beta_0.02.txt,weimar_000125_000019_leftImg8bit_foggy_beta_0.02.png
11,aachen_000128_000019_leftImg8bit.png,aachen_000128_000019_leftImg8bit_foggy_beta_0.02.txt,aachen_000128_000019_leftImg8bit_foggy_beta_0.02.png
12,dusseldorf_000184_000019_leftImg8bit.png,dusseldorf_000184_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000184_000019_leftImg8bit_foggy_beta_0.02.png
13,bochum_000000_015038_leftImg8bit.png,bochum_000000_015038_leftImg8bit_foggy_beta_0.02.txt,bochum_000000_015038_leftImg8bit_foggy_beta_0.02.png
14,jena_000057_000019_leftImg8bit.png,jena_000057_000019_leftImg8bit_foggy_beta_0.02.txt,jena_000057_000019_leftImg8bit_foggy_beta_0.02.png
15,bremen_000213_000019_leftImg8bit.png,bremen_000213_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000213_000019_leftImg8bit_foggy_beta_0.02.png
16,strasbourg_000000_014416_leftImg8bit.png,strasbourg_000000_014416_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_014416_leftImg8bit_foggy_beta_0.02.png
17,bremen_000143_000019_leftImg8bit.png,bremen_000143_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000143_000019_leftImg8bit_foggy_beta_0.02.png
18,cologne_000044_000019_leftImg8bit.png,cologne_000044_000019_leftImg8bit_foggy_beta_0.02.txt,cologne_000044_000019_leftImg8bit_foggy_beta_0.02.png
19,strasbourg_000001_031683_leftImg8bit.png,strasbourg_000001_031683_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_031683_leftImg8bit_foggy_beta_0.02.png
20,strasbourg_000000_030017_leftImg8bit.png,strasbourg_000000_030017_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_030017_leftImg8bit_foggy_beta_0.02.png
21,monchengladbach_000000_020596_leftImg8bit.png,monchengladbach_000000_020596_leftImg8bit_foggy_beta_0.02.txt,monchengladbach_000000_020596_leftImg8bit_foggy_beta_0.02.png
22,hanover_000000_051536_leftImg8bit.png,hanover_000000_051536_leftImg8bit_foggy_beta_0.02.txt,hanover_000000_051536_leftImg8bit_foggy_beta_0.02.png
23,tubingen_000038_000019_leftImg8bit.png,tubingen_000038_000019_leftImg8bit_foggy_beta_0.02.txt,tubingen_000038_000019_leftImg8bit_foggy_beta_0.02.png
24,zurich_000051_000019_leftImg8bit.png,zurich_000051_000019_leftImg8bit_foggy_beta_0.02.txt,zurich_000051_000019_leftImg8bit_foggy_beta_0.02.png
25,weimar_000044_000019_leftImg8bit.png,weimar_000044_000019_leftImg8bit_foggy_beta_0.02.txt,weimar_000044_000019_leftImg8bit_foggy_beta_0.02.png
26,hamburg_000000_044400_leftImg8bit.png,hamburg_000000_044400_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_044400_leftImg8bit_foggy_beta_0.02.png
27,stuttgart_000184_000019_leftImg8bit.png,stuttgart_000184_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000184_000019_leftImg8bit_foggy_beta_0.02.png
28,aachen_000049_000019_leftImg8bit.png,aachen_000049_000019_leftImg8bit_foggy_beta_0.02.txt,aachen_000049_000019_leftImg8bit_foggy_beta_0.02.png
29,darmstadt_000014_000019_leftImg8bit.png,darmstadt_000014_000019_leftImg8bit_foggy_beta_0.02.txt,darmstadt_000014_000019_leftImg8bit_foggy_beta_0.02.png
30,hamburg_000000_088627_leftImg8bit.png,hamburg_000000_088627_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_088627_leftImg8bit_foggy_beta_0.02.png
31,strasbourg_000001_051134_leftImg8bit.png,strasbourg_000001_051134_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_051134_leftImg8bit_foggy_beta_0.02.png
32,bochum_000000_016125_leftImg8bit.png,bochum_000000_016125_leftImg8bit_foggy_beta_0.02.txt,bochum_000000_016125_leftImg8bit_foggy_beta_0.02.png
33,strasbourg_000001_062362_leftImg8bit.png,strasbourg_000001_062362_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_062362_leftImg8bit_foggy_beta_0.02.png
34,bremen_000022_000019_leftImg8bit.png,bremen_000022_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000022_000019_leftImg8bit_foggy_beta_0.02.png
35,cologne_000125_000019_leftImg8bit.png,cologne_000125_000019_leftImg8bit_foggy_beta_0.02.txt,cologne_000125_000019_leftImg8bit_foggy_beta_0.02.png
36,strasbourg_000000_028556_leftImg8bit.png,strasbourg_000000_028556_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_028556_leftImg8bit_foggy_beta_0.02.png
37,tubingen_000051_000019_leftImg8bit.png,tubingen_000051_000019_leftImg8bit_foggy_beta_0.02.txt,tubingen_000051_000019_leftImg8bit_foggy_beta_0.02.png
38,strasbourg_000000_003846_leftImg8bit.png,strasbourg_000000_003846_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_003846_leftImg8bit_foggy_beta_0.02.png
39,strasbourg_000001_003489_leftImg8bit.png,strasbourg_000001_003489_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_003489_leftImg8bit_foggy_beta_0.02.png
40,aachen_000020_000019_leftImg8bit.png,aachen_000020_000019_leftImg8bit_foggy_beta_0.02.txt,aachen_000020_000019_leftImg8bit_foggy_beta_0.02.png
41,zurich_000038_000019_leftImg8bit.png,zurich_000038_000019_leftImg8bit_foggy_beta_0.02.txt,zurich_000038_000019_leftImg8bit_foggy_beta_0.02.png
42,hamburg_000000_076966_leftImg8bit.png,hamburg_000000_076966_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_076966_leftImg8bit_foggy_beta_0.02.png
43,krefeld_000000_003937_leftImg8bit.png,krefeld_000000_003937_leftImg8bit_foggy_beta_0.02.txt,krefeld_000000_003937_leftImg8bit_foggy_beta_0.02.png
44,hamburg_000000_088983_leftImg8bit.png,hamburg_000000_088983_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_088983_leftImg8bit_foggy_beta_0.02.png
45,hanover_000000_011971_leftImg8bit.png,hanover_000000_011971_leftImg8bit_foggy_beta_0.02.txt,hanover_000000_011971_leftImg8bit_foggy_beta_0.02.png
46,strasbourg_000000_016247_leftImg8bit.png,strasbourg_000000_016247_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_016247_leftImg8bit_foggy_beta_0.02.png
47,krefeld_000000_014673_leftImg8bit.png,krefeld_000000_014673_leftImg8bit_foggy_beta_0.02.txt,krefeld_000000_014673_leftImg8bit_foggy_beta_0.02.png
48,dusseldorf_000005_000019_leftImg8bit.png,dusseldorf_000005_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000005_000019_leftImg8bit_foggy_beta_0.02.png
49,hamburg_000000_068693_leftImg8bit.png,hamburg_000000_068693_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_068693_leftImg8bit_foggy_beta_0.02.png
50,stuttgart_000164_000019_leftImg8bit.png,stuttgart_000164_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000164_000019_leftImg8bit_foggy_beta_0.02.png
51,dusseldorf_000177_000019_leftImg8bit.png,dusseldorf_000177_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000177_000019_leftImg8bit_foggy_beta_0.02.png
52,bremen_000139_000019_leftImg8bit.png,bremen_000139_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000139_000019_leftImg8bit_foggy_beta_0.02.png
53,stuttgart_000016_000019_leftImg8bit.png,stuttgart_000016_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000016_000019_leftImg8bit_foggy_beta_0.02.png
54,hanover_000000_056142_leftImg8bit.png,hanover_000000_056142_leftImg8bit_foggy_beta_0.02.txt,hanover_000000_056142_leftImg8bit_foggy_beta_0.02.png
55,strasbourg_000001_042869_leftImg8bit.png,strasbourg_000001_042869_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_042869_leftImg8bit_foggy_beta_0.02.png
