,src_image,annotation
0,dusseldorf_000086_000019_leftImg8bit.png,dusseldorf_000086_000019_leftImg8bit.txt
1,weimar_000051_000019_leftImg8bit.png,weimar_000051_000019_leftImg8bit.txt
2,strasbourg_000000_014066_leftImg8bit.png,strasbourg_000000_014066_leftImg8bit.txt
3,tubingen_000143_000019_leftImg8bit.png,tubingen_000143_000019_leftImg8bit.txt
4,cologne_000020_000019_leftImg8bit.png,cologne_000020_000019_leftImg8bit.txt
5,krefeld_000000_002083_leftImg8bit.png,krefeld_000000_002083_leftImg8bit.txt
6,jena_000117_000019_leftImg8bit.png,jena_000117_000019_leftImg8bit.txt
7,ulm_000027_000019_leftImg8bit.png,ulm_000027_000019_leftImg8bit.txt
8,strasbourg_000000_026998_leftImg8bit.png,strasbourg_000000_026998_leftImg8bit.txt
9,aachen_000139_000019_leftImg8bit.png,aachen_000139_000019_leftImg8bit.txt
10,strasbourg_000000_030941_leftImg8bit.png,strasbourg_000000_030941_leftImg8bit.txt
11,hanover_000000_006355_leftImg8bit.png,hanover_000000_006355_leftImg8bit.txt
12,hanover_000000_045657_leftImg8bit.png,hanover_000000_045657_leftImg8bit.txt
13,zurich_000057_000019_leftImg8bit.png,zurich_000057_000019_leftImg8bit.txt
14,jena_000102_000019_leftImg8bit.png,jena_000102_000019_leftImg8bit.txt
15,bremen_000106_000019_leftImg8bit.png,bremen_000106_000019_leftImg8bit.txt
16,dusseldorf_000046_000019_leftImg8bit.png,dusseldorf_000046_000019_leftImg8bit.txt
17,cologne_000086_000019_leftImg8bit.png,cologne_000086_000019_leftImg8bit.txt
18,hanover_000000_048508_leftImg8bit.png,hanover_000000_048508_leftImg8bit.txt
19,strasbourg_000001_007524_leftImg8bit.png,strasbourg_000001_007524_leftImg8bit.txt
20,strasbourg_000001_022151_leftImg8bit.png,strasbourg_000001_022151_leftImg8bit.txt
21,ulm_000079_000019_leftImg8bit.png,ulm_000079_000019_leftImg8bit.txt
22,hanover_000000_049465_leftImg8bit.png,hanover_000000_049465_leftImg8bit.txt
23,tubingen_000009_000019_leftImg8bit.png,tubingen_000009_000019_leftImg8bit.txt
24,hamburg_000000_102574_leftImg8bit.png,hamburg_000000_102574_leftImg8bit.txt
25,monchengladbach_000000_023375_leftImg8bit.png,monchengladbach_000000_023375_leftImg8bit.txt
26,stuttgart_000017_000019_leftImg8bit.png,stuttgart_000017_000019_leftImg8bit.txt
27,cologne_000098_000019_leftImg8bit.png,cologne_000098_000019_leftImg8bit.txt
28,stuttgart_000100_000019_leftImg8bit.png,stuttgart_000100_000019_leftImg8bit.txt
29,stuttgart_000140_000019_leftImg8bit.png,stuttgart_000140_000019_leftImg8bit.txt
30,strasbourg_000001_055273_leftImg8bit.png,strasbourg_000001_055273_leftImg8bit.txt
31,dusseldorf_000122_000019_leftImg8bit.png,dusseldorf_000122_000019_leftImg8bit.txt
32,tubingen_000086_000019_leftImg8bit.png,tubingen_000086_000019_leftImg8bit.txt
33,aachen_000132_000019_leftImg8bit.png,aachen_000132_000019_leftImg8bit.txt
34,erfurt_000091_000019_leftImg8bit.png,erfurt_000091_000019_leftImg8bit.txt
35,strasbourg_000001_040761_leftImg8bit.png,strasbourg_000001_040761_leftImg8bit.txt
36,strasbourg_000000_019355_leftImg8bit.png,strasbourg_000000_019355_leftImg8bit.txt
37,monchengladbach_000000_030662_leftImg8bit.png,monchengladbach_000000_030662_leftImg8bit.txt
38,krefeld_000000_003937_leftImg8bit.png,krefeld_000000_003937_leftImg8bit.txt
39,krefeld_000000_036299_leftImg8bit.png,krefeld_000000_036299_leftImg8bit.txt
40,dusseldorf_000013_000019_leftImg8bit.png,dusseldorf_000013_000019_leftImg8bit.txt
41,bremen_000146_000019_leftImg8bit.png,bremen_000146_000019_leftImg8bit.txt
42,stuttgart_000138_000019_leftImg8bit.png,stuttgart_000138_000019_leftImg8bit.txt
43,aachen_000050_000019_leftImg8bit.png,aachen_000050_000019_leftImg8bit.txt
44,monchengladbach_000001_002353_leftImg8bit.png,monchengladbach_000001_002353_leftImg8bit.txt
45,monchengladbach_000000_018294_leftImg8bit.png,monchengladbach_000000_018294_leftImg8bit.txt
46,dusseldorf_000158_000019_leftImg8bit.png,dusseldorf_000158_000019_leftImg8bit.txt
47,cologne_000055_000019_leftImg8bit.png,cologne_000055_000019_leftImg8bit.txt
48,cologne_000088_000019_leftImg8bit.png,cologne_000088_000019_leftImg8bit.txt
49,hamburg_000000_078407_leftImg8bit.png,hamburg_000000_078407_leftImg8bit.txt
50,darmstadt_000075_000019_leftImg8bit.png,darmstadt_000075_000019_leftImg8bit.txt
51,bremen_000271_000019_leftImg8bit.png,bremen_000271_000019_leftImg8bit.txt
52,monchengladbach_000000_007695_leftImg8bit.png,monchengladbach_000000_007695_leftImg8bit.txt
53,jena_000054_000019_leftImg8bit.png,jena_000054_000019_leftImg8bit.txt
54,tubingen_000040_000019_leftImg8bit.png,tubingen_000040_000019_leftImg8bit.txt
55,monchengladbach_000000_006169_leftImg8bit.png,monchengladbach_000000_006169_leftImg8bit.txt
56,dusseldorf_000149_000019_leftImg8bit.png,dusseldorf_000149_000019_leftImg8bit.txt
57,hamburg_000000_066424_leftImg8bit.png,hamburg_000000_066424_leftImg8bit.txt
58,weimar_000133_000019_leftImg8bit.png,weimar_000133_000019_leftImg8bit.txt
59,bremen_000142_000019_leftImg8bit.png,bremen_000142_000019_leftImg8bit.txt
60,strasbourg_000001_020904_leftImg8bit.png,strasbourg_000001_020904_leftImg8bit.txt
61,stuttgart_000043_000019_leftImg8bit.png,stuttgart_000043_000019_leftImg8bit.txt
62,tubingen_000019_000019_leftImg8bit.png,tubingen_000019_000019_leftImg8bit.txt
63,bremen_000171_000019_leftImg8bit.png,bremen_000171_000019_leftImg8bit.txt
64,hamburg_000000_056229_leftImg8bit.png,hamburg_000000_056229_leftImg8bit.txt
65,bremen_000236_000019_leftImg8bit.png,bremen_000236_000019_leftImg8bit.txt
66,jena_000092_000019_leftImg8bit.png,jena_000092_000019_leftImg8bit.txt
67,bremen_000221_000019_leftImg8bit.png,bremen_000221_000019_leftImg8bit.txt
68,strasbourg_000001_001072_leftImg8bit.png,strasbourg_000001_001072_leftImg8bit.txt
69,aachen_000055_000019_leftImg8bit.png,aachen_000055_000019_leftImg8bit.txt
70,strasbourg_000000_034097_leftImg8bit.png,strasbourg_000000_034097_leftImg8bit.txt
71,aachen_000148_000019_leftImg8bit.png,aachen_000148_000019_leftImg8bit.txt
72,weimar_000117_000019_leftImg8bit.png,weimar_000117_000019_leftImg8bit.txt
73,aachen_000070_000019_leftImg8bit.png,aachen_000070_000019_leftImg8bit.txt
74,strasbourg_000000_032346_leftImg8bit.png,strasbourg_000000_032346_leftImg8bit.txt
75,krefeld_000000_017342_leftImg8bit.png,krefeld_000000_017342_leftImg8bit.txt
