,Unnamed: 0.1,Unnamed: 0,src_image,annotation,foggy_image
175,1030,1030,weimar_000001_000019_leftImg8bit.png,weimar_000001_000019_leftImg8bit_foggy_beta_0.02.txt,weimar_000001_000019_leftImg8bit_foggy_beta_0.02.png
176,1035,1035,ulm_000054_000019_leftImg8bit.png,ulm_000054_000019_leftImg8bit_foggy_beta_0.02.txt,ulm_000054_000019_leftImg8bit_foggy_beta_0.02.png
177,1037,1037,tubingen_000140_000019_leftImg8bit.png,tubingen_000140_000019_leftImg8bit_foggy_beta_0.02.txt,tubingen_000140_000019_leftImg8bit_foggy_beta_0.02.png
178,1046,1046,hanover_000000_020655_leftImg8bit.png,hanover_000000_020655_leftImg8bit_foggy_beta_0.02.txt,hanover_000000_020655_leftImg8bit_foggy_beta_0.02.png
179,1047,1047,stuttgart_000095_000019_leftImg8bit.png,stuttgart_000095_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000095_000019_leftImg8bit_foggy_beta_0.02.png
180,1060,1060,dusseldorf_000095_000019_leftImg8bit.png,dusseldorf_000095_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000095_000019_leftImg8bit_foggy_beta_0.02.png
181,1068,1068,zurich_000048_000019_leftImg8bit.png,zurich_000048_000019_leftImg8bit_foggy_beta_0.02.txt,zurich_000048_000019_leftImg8bit_foggy_beta_0.02.png
182,1069,1069,aachen_000050_000019_leftImg8bit.png,aachen_000050_000019_leftImg8bit_foggy_beta_0.02.txt,aachen_000050_000019_leftImg8bit_foggy_beta_0.02.png
183,1075,1075,darmstadt_000084_000019_leftImg8bit.png,darmstadt_000084_000019_leftImg8bit_foggy_beta_0.02.txt,darmstadt_000084_000019_leftImg8bit_foggy_beta_0.02.png
184,1076,1076,stuttgart_000066_000019_leftImg8bit.png,stuttgart_000066_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000066_000019_leftImg8bit_foggy_beta_0.02.png
185,1078,1078,bremen_000149_000019_leftImg8bit.png,bremen_000149_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000149_000019_leftImg8bit_foggy_beta_0.02.png
186,1080,1080,monchengladbach_000000_019500_leftImg8bit.png,monchengladbach_000000_019500_leftImg8bit_foggy_beta_0.02.txt,monchengladbach_000000_019500_leftImg8bit_foggy_beta_0.02.png
187,1094,1094,jena_000034_000019_leftImg8bit.png,jena_000034_000019_leftImg8bit_foggy_beta_0.02.txt,jena_000034_000019_leftImg8bit_foggy_beta_0.02.png
188,1097,1097,monchengladbach_000000_035650_leftImg8bit.png,monchengladbach_000000_035650_leftImg8bit_foggy_beta_0.02.txt,monchengladbach_000000_035650_leftImg8bit_foggy_beta_0.02.png
189,1102,1102,cologne_000146_000019_leftImg8bit.png,cologne_000146_000019_leftImg8bit_foggy_beta_0.02.txt,cologne_000146_000019_leftImg8bit_foggy_beta_0.02.png
190,1104,1104,darmstadt_000077_000019_leftImg8bit.png,darmstadt_000077_000019_leftImg8bit_foggy_beta_0.02.txt,darmstadt_000077_000019_leftImg8bit_foggy_beta_0.02.png
191,1105,1105,dusseldorf_000086_000019_leftImg8bit.png,dusseldorf_000086_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000086_000019_leftImg8bit_foggy_beta_0.02.png
192,1108,1108,hanover_000000_052887_leftImg8bit.png,hanover_000000_052887_leftImg8bit_foggy_beta_0.02.txt,hanover_000000_052887_leftImg8bit_foggy_beta_0.02.png
193,1123,1123,hamburg_000000_071942_leftImg8bit.png,hamburg_000000_071942_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_071942_leftImg8bit_foggy_beta_0.02.png
194,1129,1129,ulm_000067_000019_leftImg8bit.png,ulm_000067_000019_leftImg8bit_foggy_beta_0.02.txt,ulm_000067_000019_leftImg8bit_foggy_beta_0.02.png
195,1134,1134,dusseldorf_000127_000019_leftImg8bit.png,dusseldorf_000127_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000127_000019_leftImg8bit_foggy_beta_0.02.png
196,1138,1138,hanover_000000_008017_leftImg8bit.png,hanover_000000_008017_leftImg8bit_foggy_beta_0.02.txt,hanover_000000_008017_leftImg8bit_foggy_beta_0.02.png
197,1139,1139,stuttgart_000046_000019_leftImg8bit.png,stuttgart_000046_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000046_000019_leftImg8bit_foggy_beta_0.02.png
198,1143,1143,tubingen_000012_000019_leftImg8bit.png,tubingen_000012_000019_leftImg8bit_foggy_beta_0.02.txt,tubingen_000012_000019_leftImg8bit_foggy_beta_0.02.png
199,1149,1149,erfurt_000101_000019_leftImg8bit.png,erfurt_000101_000019_leftImg8bit_foggy_beta_0.02.txt,erfurt_000101_000019_leftImg8bit_foggy_beta_0.02.png
